dataID	context	indices_target_token	indices_target_sentence	lemma
399	We felt very inferior! We hopped back onto the coach - now for the boulangerie ! The sweltering heat hit us as we entered the shop and it increased as we went into the baking room.	47:53	23:80	coach.n
400	This is the biological foundation of social life as a human being. This is also at the very essence or heart of being a coach . Coaches do whatever they do in conversations.	120:126	67:127	coach.n
81	"But people who tried concentration meditation got better more quickly, and were O.K. without their medicine. The Transcendental Meditation people advertised this : "" Meditation can fix many sicknesses . "" So now many doctors like meditation."	181:185	109:202	fix.v
82	So, here I am, presenting you with a one-week-at-a-time perspective on our progress. Now , I 'm not sure how I went from missing two weeks to six , but intend to fix that as I go . An AWN should pop up on an average of once every three days ( two a week-ish ) until caught up.	162:166	85:180	fix.v
101	The Copper Queen Library's plan is online at http://cochise.lib.az.us/bisbee/plan.html. It is really a neat plan , well documented and a model for libraries that are still working on their plans. ~ ~ ~ Corrections to April 2003 issue of LDD On the Road : Some things slipped by when putting together last month’s issue of LDD On the Road . Copper Queen Library Director Janet Ball's picture didn't make it into the issue.	103:108	88:339	neat.a
102	The best new site, though shallow in content as yet, is the National Theatre 's Stagework site: nice video clips to support drama. And the prize for neatest , simplest idea has to go to britkid.org , a resource for opening children 's eyes to the diversity of our culture. www.skoool.com www.nrich.maths.org.uk www.stagework.org.uk www.learningcurve.gov.uk www.britkid.org Email Hotmail is the free email service everyone knows . It 's also dangerous, because Microsoft will delete all your messages if you do n't log on every 30 days. However, it 's an obvious choice for people who use Microsoft Messenger, MSN Spaces ( Microsoft 's new blogging service ), and Internet Explorer, because they all work together.	149:157	131:429	neat.a
111	"Rather than comparing online learning with traditional higher education, how can we identify new models and talk about what is better rather than what is "" as good as ""? What are the important variables that create a rich online learning experience , one that makes real improvements in academic practice ? How can each of us learn from others approaches and borrow aspects that can be integrated into our own learning environments?"	217:222	170:306	rich.a
112	After visiting the beaches, drop by Anmyeon-eup where dense pine-tree forests grab tourists' attention. Trees on Anmyeondo used to be thick and lush to the extent of prompting a saying , Â¡Â°You can become rich with an axe.Â¡Â± But now only few trees are left due to reckless deforestation since the time of KoreaÂ¡Â¯s liberation from Japanese colonial rule . By looking at the vast Songim Forest it is easy to guess how dense these forests used to be.	206:211	104:359	rich.a
121	This was probably the first Budapest between elite players, and it passed with flying colors. Rubinstein held the gambit pawn with 4.Bf4 and 7.Qd5 , but his neglect of kingside development was severely punished . 44.	193:202	94:212	severely.r
122	"Ibid.Â""On the 11th November, at Strone-Nevis, near Fort-William, Evan Macmillan, aged one hundred years. This veteran , the oldest pensioner in Great Britain , entered the army in 1758 , and was severely wounded at the battle of Quebec under General Wolfe , in consequence of which he became an out-pensioner of Chelsea Hospital , and continued so for the period of seventy-five years . He retained all his faculties, except his eyesight, to the last."	196:205	106:387	severely.r
