dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1953-02-10_01_044.tcf.xml-10-21	Im Oktober 19. V2 gab es in Kuhlhauscn Großbauern, die noch immer nicht das rückständige Soll aus dem Jahre 1951 abgedeckt hatten.	113:122	0:130	abdecken
2532889X_1955-01-08_01_051.tcf.xml-8-26	Die neue wand ist 5,70 m mal 8,50 m breit. werden andere Filme gezeigt, wird ' die Leinwand durch Vorhänge auf ihre alte Breite abgedeckt.	128:137	0:138	abdecken
2532889X_1962-01-24_01_024.tcf.xml-27-17	Über lOOmal wurde am Montag die Westberliner Feuerwehr alarmiert, da der starke Sturm über Berlin Dächer abdeckte und große Bäume entwurzelte.	105:113	0:142	abdecken
2532889X_1963-05-11_01_043.tcf.xml-39-20	Bis zum 30. September sind die vorgesehene Steigerung der Arbeitsproduktivität und die Senkung der Selbstkosten durch entsprechende technisch organisatorische Maßnahmen abzudecken.	169:179	0:180	abdecken
2532889X_1965-11-13_01_042.tcf.xml-46-32	Ausgehend von den Bedingungen der Landwirtschaft besteht die Verantwortung der Organe des Bauwesens in erster Linie darin, den Bedarf an Baumaterial, besonders an Betonfertigteilen, im Rahmen des Planes voll abzudecken, während die Organe der Landwirtschaft in wachsendem Umfange ihre Baumaßnahmen mit eigenen Kräften ausführen.	208:218	0:328	abdecken
2532889X_1966-02-13_01_235.tcf.xml-6-18	Bei der Limousine befinden sich die Glühlampen der Kennzeichenbeleuchtung im Kofferraum, und die Lichtaustrittsöffnungen sind mit kunststoffgläsern abgedeckt.	148:157	0:158	abdecken
2532889X_1967-09-06_01_168.tcf.xml-11-39	Obwohl eine Reihe von Maßnahmen zur Zentralisierung ¦ von Steuermitteln. beim Bund und eine erhebliche Erhöhung vor allem bei den Massensteuern ' vorgesehen sind, rechnet man in Bonn mit folgenden Defiziten im Bundeshaushalt, die durch Anleihen abgedeckt werden müßten:?)	245:254	0:271	abdecken
2532889X_1974-07-30_01_113.tcf.xml-14-25	Da das Wasserkraftwerk am Euphratdamm nach seiner planmäßigen Fertigstellung allein eine installierte Leistung von 1100 MW aufweisen wird — die den gesamten zu erwartenden Strombedarf abdecken könnte — und zudem ein neues Kraftwerk bei Hama entsteht, betrachtet die staatliche Elektrizitätsgesellschaft Syriens dieses Problem als so gut wie gelöst,	184:192	0:348	abdecken
2532889X_1975-10-25_01_181.tcf.xml-9-26	Da der Brustraum zu klein war, um das Herz aufzunehmen, entschlossen sich die Ärzte, das Organ mit Haut von der Brust des Kindes abzudecken.	129:139	0:140	abdecken
2532889X_1980-12-03_01_045.tcf.xml-3-41	So war es zum Beispiel während des zweiten Weltkrieges, als die faschistischen Besatzer auf dem sowjetischen Territortum nicht einfach raubten und mordeten, und zwar in nie dagewesenen Dimensionen, sondern diesen Raub und Mord sorgfältig durch Verordnungen und Gesetze abdeckten.	269:278	0:279	abdecken
